date,closing quotation,opening quotation,high,low,price change
2015/2/27,6.2696,6.2588,6.2698,6.2588,0.0017
2015/3/2,6.2725,6.2733,6.2742,6.2719,0.0005
2015/3/3,6.2744,6.2753,6.2763,6.273,0.0003
2015/3/4,6.2706,6.272,6.2726,6.27,-0.0006
2015/3/5,6.266,6.2717,6.2723,6.2652,-0.0007
2015/3/6,6.2625,6.2645,6.2655,6.2622,-0.0006
2015/3/9,6.264,6.265,6.2689,6.2633,0.0002
2015/3/10,6.262,6.265,6.2651,6.2605,-0.0003
2015/3/11,6.2623,6.263,6.2642,6.2611,0
2015/3/12,6.2624,6.2638,6.2646,6.2612,0
2015/3/13,6.2595,6.2597,6.2604,6.2573,-0.0005
2015/3/16,6.2625,6.2595,6.263,6.2595,0.0005
2015/3/17,6.2495,6.26,6.26,6.2485,-0.0021
2015/3/18,6.2294,6.2465,6.2497,6.2282,-0.0032
2015/3/19,6.196,6.2293,6.2293,6.1864,-0.0054
2015/3/20,6.2052,6.1968,6.2233,6.18,0.0015
2015/3/23,6.214,6.2052,6.2185,6.1975,0.0014
2015/3/24,6.2051,6.2147,6.2147,6.1986,-0.0014
2015/3/25,6.2121,6.2064,6.217,6.2011,0.0011
2015/3/26,6.2108,6.2126,6.2165,6.207,-0.0002
2015/3/27,6.215,6.213,6.2186,6.2093,0.0007
2015/3/30,6.207,6.213,6.215,6.202,-0.0013
2015/3/31,6.1995,6.2065,6.2065,6.1946,-0.0012
2015/4/1,6.1985,6.2003,6.2003,6.1932,-0.0002
2015/4/2,6.197,6.1967,6.1984,6.1927,-0.0002
2015/4/3,6.1935,6.1935,6.1968,6.1886,-0.0006
2015/4/6,6.1935,6.1935,6.1935,6.1935,0
2015/4/7,6.196,6.191,6.1981,6.1884,0.0004
2015/4/8,6.2025,6.1975,6.2065,6.1975,0.001
2015/4/9,6.2055,6.2022,6.2062,6.2018,0.0005
2015/4/10,6.2085,6.2085,6.2119,6.2062,0.0005
2015/4/13,6.2167,6.2093,6.218,6.2082,0.0013
2015/4/14,6.2115,6.2143,6.2153,6.2101,-0.0008
2015/4/15,6.2052,6.207,6.2115,6.2031,-0.001
2015/4/16,6.1962,6.1952,6.2005,6.1933,-0.0015
2015/4/17,6.1978,6.1892,6.198,6.1881,0.0003
2015/4/20,6.201,6.198,6.2047,6.1965,0.0005
2015/4/21,6.201,6.202,6.2035,6.1988,0
2015/4/22,6.194,6.202,6.202,6.1938,-0.0011
2015/4/23,6.197,6.1935,6.1995,6.1935,0.0005
2015/4/24,6.1935,6.194,6.1994,6.1925,-0.0006
2015/4/27,6.219,6.195,6.2208,6.1945,0.0041
2015/4/28,6.204,6.217,6.2192,6.2018,-0.0024
2015/4/29,6.1993,6.205,6.2062,6.1979,-0.0008
2015/4/30,6.2028,6.1975,6.2069,6.1958,0.0006
2015/5/1,6.2028,6.2028,6.2028,6.2028,0
2015/5/4,6.209,6.2065,6.2097,6.2054,0.001
2015/5/5,6.206,6.2097,6.2101,6.2025,-0.0005
2015/5/6,6.2004,6.2049,6.205,6.1952,-0.0009
2015/5/7,6.2066,6.1997,6.2073,6.1983,0.001
2015/5/8,6.2094,6.207,6.2107,6.207,0.0005
2015/5/11,6.2096,6.2101,6.211,6.2076,0
2015/5/12,6.2089,6.2093,6.2097,6.2071,-0.0001
2015/5/13,6.2046,6.2089,6.2089,6.2025,-0.0007
2015/5/14,6.2016,6.1997,6.2022,6.1986,-0.0005
2015/5/15,6.2061,6.2023,6.2076,6.2023,0.0007
2015/5/18,6.2043,6.2021,6.2062,6.202,-0.0003
2015/5/19,6.2066,6.2043,6.2071,6.2018,0.0004
2015/5/20,6.2037,6.2056,6.2061,6.2011,-0.0005
2015/5/21,6.1968,6.203,6.2047,6.1959,-0.0011
2015/5/22,6.1974,6.1961,6.1995,6.1917,0.0001
2015/5/25,6.202,6.1982,6.2032,6.198,0.0007
2015/5/26,6.2039,6.2018,6.207,6.2017,0.0003
2015/5/27,6.2013,6.2037,6.2061,6.2003,-0.0004
2015/5/28,6.2012,6.2015,6.2033,6.1963,0
